Plate_ID,Batch_ID,Run_Date,Analyst,Instrument_ID,Read_Order,Well,Row,Column,Sample_ID,Sample_Type,Replicate,Dilution_Factor,Expected_Concentration_pg_mL,Synthetic_True_Final_Concentration_pg_mL,OD450,Calculated_Assay_Concentration_pg_mL,Calculated_Final_Concentration_pg_mL,Result_Qualifier,Replicate_CV_Pct,Recovery_Pct,Sample_QC_Flag
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,91,H7,H,7,SMP-0034,Unknown,1,1,,462.3383,1.59287,463.9949,463.9949,Quantifiable,2.38,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,92,H8,H,8,SMP-0034,Unknown,2,1,,462.3383,1.56979,448.6309,448.6309,Quantifiable,2.38,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,93,H9,H,9,SMP-0035,Unknown,1,1,,1707.3993,2.22191,1699.1562,1699.1562,Quantifiable,5.73,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,94,H10,H,10,SMP-0035,Unknown,2,1,,1707.3993,2.19814,1566.782,1566.782,Quantifiable,5.73,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,95,H11,H,11,SMP-0036,Unknown,1,1,,9.8534,0.08676,10.3261,10.3261,<LLOQ,6.43,,Pass
PLT-001,BATCH-01,2026-01-05,Analyst_A,ELISA_Reader_01,96,H12,H,12,SMP-0036,Unknown,2,1,,9.8534,0.09158,11.3093,11.3093,<LLOQ,6.43,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,1,A1,A,1,STD_2000,Standard,1,1,2000.0,2000.0,2.18881,1845.916,1845.916,N/A,6.41,96.68,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,2,A2,A,2,STD_2000,Standard,2,1,2000.0,2000.0,2.21036,2021.2249,2021.2249,N/A,6.41,96.68,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,3,A3,A,3,BLANK,Blank,1,1,0.0,0.0,0.04733,0.0027,0.0027,N/A,141.04,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,4,A4,A,4,BLANK,Blank,2,1,0.0,0.0,0.05501,2.0263,2.0263,N/A,141.04,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,5,A5,A,5,SMP-0037,Unknown,1,2,,10.158,0.05894,3.3993,6.7986,<LLOQ,4.84,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,6,A6,A,6,SMP-0037,Unknown,2,2,,10.158,0.05826,3.1741,6.3482,<LLOQ,4.84,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,7,A7,A,7,SMP-0038,Unknown,1,1,,18.0343,0.11113,16.8211,16.8211,<LLOQ,3.08,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,8,A8,A,8,SMP-0038,Unknown,2,1,,18.0343,0.11444,17.57,17.57,<LLOQ,3.08,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,9,A9,A,9,SMP-0039,Unknown,1,1,,92.9003,0.48353,92.2961,92.2961,Quantifiable,0.63,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,10,A10,A,10,SMP-0039,Unknown,2,1,,92.9003,0.47959,91.4794,91.4794,Quantifiable,0.63,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,11,A11,A,11,SMP-0040,Unknown,1,2,,497.5878,1.08472,247.9439,495.8877,Quantifiable,0.18,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,12,A12,A,12,SMP-0040,Unknown,2,2,,497.5878,1.08658,248.5754,497.1508,Quantifiable,0.18,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,13,B1,B,1,STD_1000,Standard,1,1,1000.0,1000.0,1.98575,1010.8517,1010.8517,N/A,0.06,101.04,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,14,B2,B,2,STD_1000,Standard,2,1,1000.0,1000.0,1.98535,1009.9237,1009.9237,N/A,0.06,101.04,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,15,B3,B,3,QC_Low,QC,1,1,50.0,50.0,0.27091,49.687,49.687,N/A,0.62,98.94,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,16,B4,B,4,QC_Low,QC,2,1,50.0,50.0,0.26872,49.2548,49.2548,N/A,0.62,98.94,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,17,B5,B,5,SMP-0041,Unknown,1,5,,17.6906,0.06139,4.1813,20.9063,<LLOQ,20.17,,Review
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,18,B6,B,6,SMP-0041,Unknown,2,5,,17.6906,0.06601,5.5725,27.8623,<LLOQ,20.17,,Review
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,19,B7,B,7,SMP-0042,Unknown,1,5,,64.9395,0.09677,13.4965,67.4825,<LLOQ,3.65,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,20,B8,B,8,SMP-0042,Unknown,2,5,,64.9395,0.09392,12.8165,64.0825,<LLOQ,3.65,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,21,B9,B,9,SMP-0043,Unknown,1,1,,1425.6179,2.14671,1579.0602,1579.0602,Quantifiable,9.82,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,22,B10,B,10,SMP-0043,Unknown,2,1,,1425.6179,2.10334,1374.0047,1374.0047,Quantifiable,9.82,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,23,B11,B,11,SMP-0044,Unknown,1,1,,52.5521,0.28735,52.931,52.931,Quantifiable,2.62,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,24,B12,B,12,SMP-0044,Unknown,2,1,,52.5521,0.29749,54.931,54.931,Quantifiable,2.62,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,25,C1,C,1,STD_500,Standard,1,1,500.0,500.0,1.59815,504.2761,504.2761,N/A,2.07,99.4,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,26,C2,C,2,STD_500,Standard,2,1,500.0,500.0,1.57847,489.7451,489.7451,N/A,2.07,99.4,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,27,C3,C,3,QC_Mid,QC,1,1,300.0,300.0,1.24572,308.2874,308.2874,N/A,4.99,99.26,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,28,C4,C,4,QC_Mid,QC,2,1,300.0,300.0,1.19336,287.2899,287.2899,N/A,4.99,99.26,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,29,C5,C,5,SMP-0045,Unknown,1,1,,8.9324,0.08076,9.5653,9.5653,<LLOQ,3.01,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,30,C6,C,6,SMP-0045,Unknown,2,1,,8.9324,0.0792,9.166,9.166,<LLOQ,3.01,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,31,C7,C,7,SMP-0046,Unknown,1,5,,26.915,0.06754,6.012,30.0602,<LLOQ,26.77,,Review
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,32,C8,C,8,SMP-0046,Unknown,2,5,,26.915,0.06112,4.0982,20.4908,<LLOQ,26.77,,Review
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,33,C9,C,9,SMP-0047,Unknown,1,2,,430.7508,0.99873,220.1543,440.3085,Quantifiable,2.12,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,34,C10,C,10,SMP-0047,Unknown,2,2,,430.7508,0.97741,213.6563,427.3127,Quantifiable,2.12,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,35,C11,C,11,SMP-0048,Unknown,1,1,,56.6381,0.31362,58.1138,58.1138,Quantifiable,2.39,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,36,C12,C,12,SMP-0048,Unknown,2,1,,56.6381,0.30383,56.1824,56.1824,Quantifiable,2.39,,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,37,D1,D,1,STD_250,Standard,1,1,250.0,250.0,1.09641,251.935,251.935,N/A,1.34,99.83,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,38,D2,D,2,STD_250,Standard,2,1,250.0,250.0,1.08257,247.2175,247.2175,N/A,1.34,99.83,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,39,D3,D,3,QC_High,QC,1,1,1200.0,1200.0,2.0674,1239.602,1239.602,N/A,6.29,98.9,Pass
PLT-002,BATCH-01,2026-01-08,Analyst_B,ELISA_Reader_02,40,D4,D,4,QC_High,QC,2,1,1200.0,1200.0,2.03353,1134.0536,1134.0536,N/A,6.29,98.9,Pass
